UF;COD. UF;COD. MUNIC;MUNICIPIO;POPULAÇÃO ESTIMADA
PA;15;6708;Santana do Araguaia;75995
CE;23;12106;Santana do Cariri;17726
MG;31;58607;Santana do Deserto;3985
MG;31;58706;Santana do Garambéu;2494
AL;27;8006;Santana do Ipanema;47910
PR;41;24004;Santana do Itararé;4916
MG;31;58805;Santana do Jacaré;4847
RS;43;17103;Sant'Ana do Livramento;75647
MG;31;58904;Santana do Manhuaçu;8660
MA;21;10237;Santana do Maranhão;13704
RN;24;11403;Santana do Matos;11808
AL;27;8105;Santana do Mundaú;10637
MG;31;58953;Santana do Paraíso;36048
PI;22;9351;Santana do Piauí;4650
MG;31;59001;Santana do Riacho;4334
SE;28;6404;Santana do São Francisco;7906
RN;24;11429;Santana do Seridó;2699
PB;25;13604;Santana dos Garrotes;6942
MG;31;59100;Santana dos Montes;3753
BA;29;28307;Santanópolis;8987
PA;15;6807;Santarém;308339
PA;15;6906;Santarém Novo;6796
RS;43;17400;Santiago;49298
SC;42;15695;Santiago do Sul;1211
MT;51;7263;Santo Afonso;3164
BA;29;28604;Santo Amaro;60190
SC;42;15703;Santo Amaro da Imperatriz;23907
SE;28;6602;Santo Amaro das Brotas;12200
MA;21;10278;Santo Amaro do Maranhão;16219
SP;35;47700;Santo Anastácio;20855
PB;25;13851;Santo André;2496
SP;35;47809;Santo André;723889
RS;43;17509;Santo Ângelo;77544
RN;24;11502;Santo Antônio;24422
SP;35;47908;Santo Antônio da Alegria;7024
GO;52;19712;Santo Antônio da Barra;4886
RS;43;17608;Santo Antônio da Patrulha;43397
PR;41;24103;Santo Antônio da Platina;46503
RS;43;17707;Santo Antônio das Missões;9930
GO;52;19738;Santo Antônio de Goiás;6593
BA;29;28703;Santo Antônio de Jesus;103204
PI;22;9401;Santo Antônio de Lisboa;6466
RJ;33;4706;Santo Antônio de Pádua;42705
SP;35;48005;Santo Antônio de Posse;23742
MG;31;59902;Santo Antônio do Amparo;18697
SP;35;48054;Santo Antônio do Aracanguá;8541
MG;31;60009;Santo Antônio do Aventureiro;3602
PR;41;24202;Santo Antônio do Caiuá;2611
GO;52;19753;Santo Antônio do Descoberto;76871
MG;31;60108;Santo Antônio do Grama;3861
AM;13;3700;Santo Antônio do Içá;20889
MG;31;60207;Santo Antônio do Itambé;3763
MG;31;60306;Santo Antônio do Jacinto;11570
SP;35;48104;Santo Antônio do Jardim;5926
MT;51;7792;Santo Antônio do Leste;5459
MT;51;7800;Santo Antônio do Leverger;17188
MG;31;60405;Santo Antônio do Monte;28603
RS;43;17558;Santo Antônio do Palma;2118
PR;41;24301;Santo Antônio do Paraíso;2032
SP;35;48203;Santo Antônio do Pinhal;6843
RS;43;17756;Santo Antônio do Planalto;2018
MG;31;60454;Santo Antônio do Retiro;7316
MG;31;60504;Santo Antônio do Rio Abaixo;1756
PR;41;24400;Santo Antônio do Sudoeste;20354
PA;15;7003;Santo Antônio do Tauá;32346
MA;21;10302;Santo Antônio dos Lopes;14516
PI;22;9450;Santo Antônio dos Milagres;2172
RS;43;17806;Santo Augusto;13813
RS;43;17905;Santo Cristo;14177
BA;29;28802;Santo Estêvão;53666
SP;35;48302;Santo Expedito;3159
RS;43;17954;Santo Expedito do Sul;2287
MG;31;60603;Santo Hipólito;3044
PR;41;24509;Santo Inácio;5422
PI;22;9500;Santo Inácio do Piauí;3809
SP;35;48401;Santópolis do Aguapeí;4856
SP;35;48500;Santos;433991
MG;31;60702;Santos Dumont;46357
CE;23;12304;São Benedito;48354
MA;21;10401;São Benedito do Rio Preto;18769
PE;26;12901;São Benedito do Sul;16239
PB;25;13927;São Bentinho;4602
MA;21;10500;São Bento;45989
PB;25;13901;São Bento;34650
MG;31;60801;São Bento Abade;5411
RN;24;11601;São Bento do Norte;2687
SP;35;48609;São Bento do Sapucaí;10907
SC;42;15802;São Bento do Sul;86317
TO;17;20101;São Bento do Tocantins;5457
RN;24;11700;São Bento do Trairí;4541
PE;26;13008;São Bento do Una;60567
SC;42;15752;São Bernardino;2239
MA;21;10609;São Bernardo;28825
SP;35;48708;São Bernardo do Campo;849874
SC;42;15901;São Bonifácio;2791
RS;43;18002;São Borja;59768
AL;27;8204;São Brás;6977
MG;31;60900;São Brás do Suaçuí;3770
PI;22;9559;São Braz do Piauí;4454
PA;15;7102;São Caetano de Odivelas;18207
SP;35;48807;São Caetano do Sul;162763
PE;26;13107;São Caitano;37488
SC;42;16008;São Carlos;11456
SP;35;48906;São Carlos;256915
PR;41;24608;São Carlos do Ivaí;6961
SE;28;6701;São Cristóvão;92090
SC;42;16057;São Cristóvão do Sul;5646
BA;29;28901;São Desidério;34764
BA;29;28950;São Domingos;9085
GO;52;19803;São Domingos;13305
PB;25;13968;São Domingos;3119
SC;42;16107;São Domingos;9422
SE;28;6800;São Domingos;11276
MG;31;60959;São Domingos das Dores;5672
PA;15;7151;São Domingos do Araguaia;25945
MA;21;10658;São Domingos do Azeitão;7448
PA;15;7201;São Domingos do Capim;32285
PB;25;13943;São Domingos do Cariri;2645
MA;21;10708;São Domingos do Maranhão;34391
ES;32;4658;São Domingos do Norte;8735
MG;31;61007;São Domingos do Prata;17296
RS;43;18051;São Domingos do Sul;3091
BA;29;29107;São Felipe;21083
RO;11;1484;São Felipe D'Oeste;4962
BA;29;29008;São Félix;14784
MA;21;10807;São Félix de Balsas;4540
MG;31;61056;São Félix de Minas;3354
MT;51;7859;São Félix do Araguaia;11934
BA;29;29057;São Félix do Coribe;15543
PI;22;9609;São Félix do Piauí;2923
TO;17;20150;São Félix do Tocantins;1610
PA;15;7300;São Félix do Xingu;135732
RN;24;11809;São Fernando;3606
RJ;33;4805;São Fidélis;38749
MG;31;61106;São Francisco;56625
PB;25;13984;São Francisco;3377
SE;28;6909;São Francisco;3837
SP;35;49003;São Francisco;2813
RS;43;18101;São Francisco de Assis;18081
PI;22;9658;São Francisco de Assis do Piauí;5801
GO;52;19902;São Francisco de Goiás;6265
RJ;33;4755;São Francisco de Itabapoana;42214
MG;31;61205;São Francisco de Paula;6512
RS;43;18200;São Francisco de Paula;21871
MG;31;61304;São Francisco de Sales;6309
MA;21;10856;São Francisco do Brejão;12082
BA;29;29206;São Francisco do Conde;40664
MG;31;61403;São Francisco do Glória;4758
RO;11;1492;São Francisco do Guaporé;21088
MA;21;10906;São Francisco do Maranhão;12226
RN;24;11908;São Francisco do Oeste;4281
PA;15;7409;São Francisco do Pará;15978
PI;22;9708;São Francisco do Piauí;6417
SC;42;16206;São Francisco do Sul;54751
BA;29;29255;São Gabriel;18785
RS;43;18309;São Gabriel;62187
AM;13;3809;São Gabriel da Cachoeira;47031
ES;32;4708;São Gabriel da Palha;39085
MS;50;7695;São Gabriel do Oeste;27660
MG;31;61502;São Geraldo;12751
MG;31;61601;São Geraldo da Piedade;3860
PA;15;7458;São Geraldo do Araguaia;24566
MG;31;61650;São Geraldo do Baixio;4104
RJ;33;4904;São Gonçalo;1098357
MG;31;61700;São Gonçalo do Abaeté;8527
CE;23;12403;São Gonçalo do Amarante;49306
RN;24;12005;São Gonçalo do Amarante;104919
PI;22;9757;São Gonçalo do Gurguéia;3071
MG;31;61809;São Gonçalo do Pará;12776
PI;22;9807;São Gonçalo do Piauí;5044
MG;31;61908;São Gonçalo do Rio Abaixo;11114
MG;31;25507;São Gonçalo do Rio Preto;3178
MG;31;62005;São Gonçalo do Sapucaí;25670
BA;29;29305;São Gonçalo dos Campos;38315
MG;31;62104;São Gotardo;36084
RS;43;18408;São Jerônimo;24569
PR;41;24707;São Jerônimo da Serra;11088
PE;26;13206;São João;23002
PR;41;24806;São João;10122
MA;21;11003;São João Batista;20736
SC;42;16305;São João Batista;39719
MG;31;62203;São João Batista do Glória;7541
RR;14;506;São João da Baliza;8492
RJ;33;5000;São João da Barra;36731
SP;35;49102;São João da Boa Vista;92315
PI;22;9856;São João da Canabrava;4619
PI;22;9872;São João da Fronteira;6084
MG;31;62252;São João da Lagoa;4949
MG;31;62302;São João da Mata;2743
GO;52;20058;São João da Paraúna;1312
PA;15;7466;São João da Ponta;6294
MG;31;62401;São João da Ponte;25033
PI;22;9906;São João da Serra;6106
RS;43;18424;São João da Urtiga;4625
PI;22;9955;São João da Varjota;4856
GO;52;20009;São João d'Aliança;14423
SP;35;49201;São João das Duas Pontes;2555
MG;31;62450;São João das Missões;13232
SP;35;49250;São João de Iracema;1942
RJ;33;5109;São João de Meriti;473385
PA;15;7474;São João de Pirabas;23440
MG;31;62500;São João del Rei;90897
PA;15;7508;São João do Araguaia;14105
PI;22;9971;São João do Arraial;8085
PR;41;24905;São João do Caiuá;5819
PB;25;14008;São João do Cariri;4170
MA;21;11029;São João do Carú;15768
SC;42;16354;São João do Itaperiú;3784
PR;41;25001;São João do Ivaí;9897
CE;23;12502;São João do Jaguaribe;7557
MG;31;62559;São João do Manhuaçu;11785
MG;31;62575;São João do Manteninha;5975
SC;42;16255;São João do Oeste;6423
MG;31;62609;São João do Oriente;7393
MG;31;62658;São João do Pacuí;4476
MA;21;11052;São João do Paraíso;11207
MG;31;62708;São João do Paraíso;23797
SP;35;49300;São João do Pau d'Alho;2095
PI;22;10003;São João do Piauí;20720
RS;43;18432;São João do Polêsine;2535
PB;25;700;São João do Rio do Peixe;18020
RN;24;12104;São João do Sabugi;6221
MA;21;11078;São João do Soter;18746
SC;42;16404;São João do Sul;7332
PB;25;14107;São João do Tigre;4408
PR;41;25100;São João do Triunfo;15359
MA;21;11102;São João dos Patos;26063
MG;31;62807;São João Evangelista;15761
MG;31;62906;São João Nepomuceno;26530
SC;42;16503;São Joaquim;27322
SP;35;49409;São Joaquim da Barra;52737
MG;31;62922;São Joaquim de Bicas;32696
PE;26;13305;São Joaquim do Monte;21439
RS;43;18440;São Jorge;2808
PR;41;25308;São Jorge do Ivaí;5535
PR;41;25357;São Jorge do Patrocínio;5532
PR;41;25209;São Jorge d'Oeste;9005
SC;42;16602;São José;253705
MG;31;62948;São José da Barra;7532
SP;35;49508;São José da Bela Vista;8991
PR;41;25407;São José da Boa Vista;6115
PE;26;13404;São José da Coroa Grande;21868
PB;25;14206;São José da Lagoa Tapada;7622
AL;27;8303;São José da Laje;24064
MG;31;62955;São José da Lapa;24490
MG;31;63003;São José da Safira;4291
AL;27;8402;São José da Tapera;32462
MG;31;63102;São José da Varginha;5151
BA;29;29354;São José da Vitória;5562
RS;43;18457;São José das Missões;2491
PR;41;25456;São José das Palmeiras;3601
PB;25;14305;São José de Caiana;6394
PB;25;14404;São José de Espinharas;4631
RN;24;12203;São José de Mipibu;44566
PB;25;14503;São José de Piranhas;20406
PB;25;14552;São José de Princesa;3898
MA;21;11201;São José de Ribamar;180345
RJ;33;5133;São José de Ubá;7240
MG;31;63201;São José do Alegre;4222
SP;35;49607;São José do Barreiro;4141
PE;26;13503;São José do Belmonte;34082
PB;25;14602;São José do Bonfim;3619
PB;25;14651;São José do Brejo do Cruz;1821
ES;32;4807;São José do Calçado;10536
RN;24;12302;São José do Campestre;12901
SC;42;16701;São José do Cedro;13811
SC;42;16800;São José do Cerrito;8054
MG;31;63300;São José do Divino;3851
PI;22;10052;São José do Divino;5361
PE;26;13602;São José do Egito;34210
MG;31;63409;São José do Goiabal;5356
RS;43;18465;São José do Herval;1917
RS;43;18481;São José do Hortêncio;4924
RS;43;18499;São José do Inhacorá;2040
BA;29;29370;São José do Jacuípe;10546
MG;31;63508;São José do Jacuri;6409
MG;31;63607;São José do Mantimento;2821
RS;43;18507;São José do Norte;27866
RS;43;18606;São José do Ouro;6911
PI;22;10102;São José do Peixe;3737
PI;22;10201;São José do Piauí;6696
MT;51;7297;São José do Povo;4102
MT;51;7305;São José do Rio Claro;21351
SP;35;49706;São José do Rio Pardo;55298
SP;35;49805;São José do Rio Preto;469173
PB;25;14701;São José do Sabugi;4153
RN;24;12401;São José do Seridó;4696
RS;43;18614;São José do Sul;2464
RJ;33;5158;São José do Vale do Rio Preto;22032
MT;51;7354;São José do Xingu;5646
RS;43;18622;São José dos Ausentes;3559
MA;21;11250;São José dos Basílios;7639
SP;35;49904;São José dos Campos;737310
PB;25;14800;São José dos Cordeiros;3607
PR;41;25506;São José dos Pinhais;334620
MT;51;7107;São José dos Quatro Marcos;18788
PB;25;14453;São José dos Ramos;6037
PI;22;10300;São Julião;6379
RS;43;18705;São Leopoldo;240378
MG;31;63706;São Lourenço;46539
PE;26;13701;São Lourenço da Mata;114910
SP;35;49953;São Lourenço da Serra;16127
SC;42;16909;São Lourenço do Oeste;24501
PI;22;10359;São Lourenço do Piauí;4581
RS;43;18804;São Lourenço do Sul;43501
SC;42;17006;São Ludgero;13886
MA;21;11300;São Luís;1115932
GO;52;20108;São Luís de Montes Belos;34488
CE;23;12601;São Luís do Curu;13086
PI;22;10375;São Luis do Piauí;2648
AL;27;8501;São Luís do Quitunde;34825
MA;21;11409;São Luís Gonzaga do Maranhão;18600
RR;14;605;São Luiz;8232
GO;52;20157;São Luiz do Norte;5263
SP;35;50001;São Luiz do Paraitinga;10693
RS;43;18903;São Luiz Gonzaga;33124
PB;25;14909;São Mamede;7682
PR;41;25555;São Manoel do Paraná;2165
SP;35;50100;São Manuel;41287
RS;43;19000;São Marcos;21756
RS;43;19109;São Martinho;5336
SC;42;17105;São Martinho;3162
RS;43;19125;São Martinho da Serra;3228
ES;32;4906;São Mateus;134629
MA;21;11508;São Mateus do Maranhão;41750
PR;41;25605;São Mateus do Sul;47137
RN;24;12500;São Miguel;23789
SP;35;50209;São Miguel Arcanjo;33071
PI;22;10383;São Miguel da Baixa Grande;2456
SC;42;17154;São Miguel da Boa Vista;1794
BA;29;29404;São Miguel das Matas;11733
RS;43;19158;São Miguel das Missões;7692
PB;25;15005;São Miguel de Taipu;7450
SE;28;7006;São Miguel do Aleixo;3964
MG;31;63805;São Miguel do Anta;6949
GO;52;20207;São Miguel do Araguaia;21849
PI;22;10391;São Miguel do Fidalgo;3037
RN;24;12559;São Miguel do Gostoso;10441
PA;15;7607;São Miguel do Guamá;60268
RO;11;320;São Miguel do Guaporé;23147
PR;41;25704;São Miguel do Iguaçu;27696
SC;42;17204;São Miguel do Oeste;41246
GO;52;20264;São Miguel do Passa Quatro;4105
PI;22;10409;São Miguel do Tapuio;17617
TO;17;20200;São Miguel do Tocantins;12445
AL;27;8600;São Miguel dos Campos;62328
AL;27;8709;São Miguel dos Milagres;8073
RS;43;19208;São Nicolau;5153
GO;52;20280;São Patrício;2040
SP;35;50308;São Paulo;12396372
RS;43;19307;São Paulo das Missões;5654
AM;13;3908;São Paulo de Olivença;40837
RN;24;12609;São Paulo do Potengi;17858
RN;24;12708;São Pedro;5889
SP;35;50407;São Pedro;36298
MA;21;11532;São Pedro da Água Branca;12779
RJ;33;5208;São Pedro da Aldeia;107556
MT;51;7404;São Pedro da Cipa;4823
RS;43;19356;São Pedro da Serra;3881
MG;31;63904;São Pedro da União;4563
RS;43;19364;São Pedro das Missões;2025
SC;42;17253;São Pedro de Alcântara;6046
RS;43;19372;São Pedro do Butiá;2950
PR;41;25753;São Pedro do Iguaçu;5745
PR;41;25803;São Pedro do Ivaí;11109
PR;41;25902;São Pedro do Paraná;2265
PI;22;10508;São Pedro do Piauí;14356
MG;31;64100;São Pedro do Suaçuí;5160
RS;43;19406;São Pedro do Sul;16100
SP;35;50506;São Pedro do Turvo;7724
MA;21;11573;São Pedro dos Crentes;4700
MG;31;64001;São Pedro dos Ferros;7634
RN;24;12807;São Rafael;8183
MA;21;11607;São Raimundo das Mangabeiras;19090
MA;21;11631;São Raimundo do Doca Bezerra;5028
PI;22;10607;São Raimundo Nonato;35035
MA;21;11672;São Roberto;6856
MG;31;64209;São Romão;12713
SP;35;50605;São Roque;93076
MG;31;64308;São Roque de Minas;7100
ES;32;4955;São Roque do Canaã;12602
TO;17;20259;São Salvador do Tocantins;3106
AL;27;8808;São Sebastião;34424
SP;35;50704;São Sebastião;91637
PR;41;26009;São Sebastião da Amoreira;8865
MG;31;64407;São Sebastião da Bela Vista;5598
PA;15;7706;São Sebastião da Boa Vista;27302
SP;35;50803;São Sebastião da Grama;12137
MG;31;64431;São Sebastião da Vargem Alegre;3039
PB;25;15104;São Sebastião de Lagoa de Roça;11793
RJ;33;5307;São Sebastião do Alto;9416
MG;31;64472;São Sebastião do Anta;6697
RS;43;19505;São Sebastião do Caí;26161
MG;31;64506;São Sebastião do Maranhão;9884
MG;31;64605;São Sebastião do Oeste;6948
MG;31;64704;São Sebastião do Paraíso;71915
BA;29;29503;São Sebastião do Passé;44554
MG;31;64803;São Sebastião do Rio Preto;1478
MG;31;64902;São Sebastião do Rio Verde;2259
TO;17;20309;São Sebastião do Tocantins;4898
AM;13;3957;São Sebastião do Uatumã;14678
PB;25;15203;São Sebastião do Umbuzeiro;3534
RS;43;19604;São Sepé;23492
GO;52;20405;São Simão;21318
SP;35;50902;São Simão;15446
MG;31;65008;São Tiago;10979
MG;31;65107;São Tomás de Aquino;6980
PR;41;26108;São Tomé;5778
RN;24;12906;São Tomé;11051
MG;31;65206;São Tomé das Letras;7151
RS;43;19703;São Valentim;3220
RS;43;19711;São Valentim do Sul;2248
TO;17;20499;São Valério;3848
RS;43;19737;São Valério do Sul;2732
RS;43;19752;São Vendelino;2288
RN;24;13003;São Vicente;6476
SP;35;51009;São Vicente;370839
MG;31;65305;São Vicente de Minas;7876
PB;25;15401;São Vicente do Seridó;10919
RS;43;19802;São Vicente do Sul;8742
MA;21;11706;São Vicente Ferrer;22452
PE;26;13800;São Vicente Férrer;18150
PB;25;15302;Sapé;52977
BA;29;29602;Sapeaçu;17421
MT;51;7875;Sapezal;27485
RS;43;19901;Sapiranga;80514
PR;41;26207;Sapopema;6708
PA;15;7755;Sapucaia;6088
RJ;33;5406;Sapucaia;18270
RS;43;20008;Sapucaia do Sul;142508
MG;31;65404;Sapucaí-Mirim;7045
RJ;33;5505;Saquarema;91938
PR;41;26256;Sarandi;98888
RS;43;20107;Sarandi;25024
SP;35;51108;Sarapuí;10493
MG;31;65503;Sardoá;6421
SP;35;51207;Sarutaiá;3623
MG;31;65537;Sarzedo;34050
BA;29;29701;Sátiro Dias;17330
AL;27;8907;Satuba;14042
MA;21;11722;Satubinha;14274
BA;29;29750;Saubara;12163
PR;41;26272;Saudade do Iguaçu;5578
SC;42;17303;Saudades;9874
BA;29;29800;Saúde;12971
SC;42;17402;Schroeder;22605
BA;29;29909;Seabra;44370
SC;42;17501;Seara;17610
SP;35;51306;Sebastianópolis do Sul;3595
PI;22;10623;Sebastião Barros;3434
BA;29;30006;Sebastião Laranjeiras;11586
PI;22;10631;Sebastião Leal;4311
RS;43;20206;Seberi;10678
RS;43;20230;Sede Nova;2875
RS;43;20263;Segredo;7465
RS;43;20305;Selbach;5114
MS;50;7802;Selvíria;6555
MG;31;65560;Sem-Peixe;2579
AC;12;500;Sena Madureira;47168
MA;21;11748;Senador Alexandre Costa;11285
MG;31;65578;Senador Amaral;5365
GO;52;20454;Senador Canedo;121447
MG;31;65602;Senador Cortes;2001
RN;24;13102;Senador Elói de Souza;6167
MG;31;65701;Senador Firmino;7902
RN;24;13201;Senador Georgino Avelino;4527
AC;12;450;Senador Guiomard;23446
MG;31;65800;Senador José Bento;1422
PA;15;7805;Senador José Porfírio;11305
MA;21;11763;Senador La Rocque;13981
MG;31;65909;Senador Modestino Gonçalves;4056
CE;23;12700;Senador Pompeu;25418
AL;27;8956;Senador Rui Palmeira;13893
CE;23;12809;Senador Sá;7758
RS;43;20321;Senador Salgado Filho;2761
PR;41;26306;Sengés;19441
BA;29;30105;Senhor do Bonfim;79813
MG;31;66006;Senhora de Oliveira;5786
MG;31;66105;Senhora do Porto;3516
MG;31;66204;Senhora dos Remédios;10474
RS;43;20354;Sentinela do Sul;5635
BA;29;30204;Sento Sé;41279
RS;43;20404;Serafina Corrêa;18074
MG;31;66303;Sericita;7340
RO;11;1500;Seringueiras;11846
RS;43;20453;Sério;1889
MG;31;66402;Seritinga;1857
RJ;33;5554;Seropédica;83841
ES;32;5002;Serra;536765
SC;42;17550;Serra Alta;3249
SP;35;51405;Serra Azul;15292
MG;31;66501;Serra Azul de Minas;4292
PB;25;15500;Serra Branca;13807
RN;24;10306;Serra Caiada;10646
PB;25;15609;Serra da Raiz;3114
MG;31;66600;Serra da Saudade;771
RN;24;13300;Serra de São Bento;5739
RN;24;13359;Serra do Mel;12225
AP;16;55;Serra do Navio;5577
BA;29;30154;Serra do Ramalho;31362
MG;31;66808;Serra do Salitre;11750
MG;31;66709;Serra dos Aimorés;8725
BA;29;30303;Serra Dourada;17261
PB;25;15708;Serra Grande;2921
SP;35;51603;Serra Negra;29669
RN;24;13409;Serra Negra do Norte;8105
MT;51;7883;Serra Nova Dourada;1705
BA;29;30402;Serra Preta;14531
PB;25;15807;Serra Redonda;7001
PE;26;13909;Serra Talhada;87467
SP;35;51504;Serrana;46166
MG;31;66907;Serrania;7667
MA;21;11789;Serrano do Maranhão;10343
GO;52;20504;Serranópolis;8737
MG;31;66956;Serranópolis de Minas;4836
PR;41;26355;Serranópolis do Iguaçu;4460
MG;31;67004;Serranos;1949
PB;25;15906;Serraria;6037
BA;29;30501;Serrinha;81693
RN;24;13508;Serrinha;6128
RN;24;13557;Serrinha dos Pintos;4832
PE;26;14006;Serrita;19226
MG;31;67103;Serro;20915
BA;29;30600;Serrolândia;13490
PR;41;26405;Sertaneja;5149
PE;26;14105;Sertânia;36189
